pathway_id,scenario_id,pathway_name,time_step,present_benefit,future_benefit,present_risk,future_risk,legitimacy,justice_adjusted_score
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,1,0.56,0.8,0.3,0.28,0.842,0.2602
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,2,0.5635,0.8234,0.2927,0.2639,0.8568,0.2725
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,3,0.567,0.8469,0.2855,0.2478,0.8716,0.2848
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,4,0.5704,0.8703,0.2782,0.2316,0.8864,0.2971
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,5,0.5739,0.8938,0.271,0.2155,0.9013,0.3094
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,6,0.5854,0.9171,0.2637,0.1994,0.9162,0.3237
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,7,0.5889,0.9406,0.2564,0.1833,0.9312,0.336
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,8,0.5924,0.964,0.2492,0.1672,0.9462,0.3483
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,9,0.5958,0.9874,0.242,0.1511,0.9612,0.3606
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,10,0.5993,1.0109,0.2347,0.135,0.9763,0.373
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,11,0.6028,1.0343,0.2274,0.1188,0.9914,0.3853
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,12,0.6143,1.0577,0.2202,0.1027,1.0065,0.3996
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,13,0.6178,1.0811,0.2129,0.0867,1.0217,0.4119
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,14,0.6212,1.1046,0.2057,0.0706,1.0369,0.4243
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,15,0.6247,1.128,0.1984,0.0544,1.0522,0.4366
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,16,0.6282,1.1514,0.1911,0.0383,1.0675,0.449
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,17,0.6317,1.1749,0.1839,0.0222,1.0828,0.4613
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,18,0.6432,1.1982,0.1767,0.0061,1.0981,0.4756
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,19,0.6466,1.2217,0.1694,0.0,1.1135,0.486
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,20,0.6501,1.2451,0.1621,0.0,1.129,0.4951
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,21,0.6536,1.2685,0.1549,0.0,1.1444,0.5043
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,22,0.6571,1.292,0.1476,0.0,1.1599,0.5134
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,23,0.6606,1.3154,0.1404,0.0,1.1755,0.5226
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,24,0.672,1.3388,0.1331,0.0,1.191,0.5337
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,25,0.6755,1.3622,0.1258,0.0,1.2066,0.5429
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,26,0.679,1.3857,0.1186,0.0,1.2223,0.552
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,27,0.6825,1.4091,0.1113,0.0,1.238,0.5612
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,28,0.686,1.4325,0.1041,0.0,1.2537,0.5704
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,29,0.6894,1.456,0.0968,0.0,1.2695,0.5795
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,30,0.7009,1.4793,0.0896,0.0,1.2852,0.5907
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,31,0.7044,1.5028,0.0823,0.0,1.3011,0.5999
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,32,0.7079,1.5262,0.075,0.0,1.3169,0.6091
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,33,0.7114,1.5497,0.0678,0.0,1.3328,0.6182
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,34,0.7148,1.5731,0.0605,0.0,1.3488,0.6274
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,35,0.7183,1.5965,0.0533,0.0,1.3647,0.6366
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,36,0.7298,1.6199,0.046,0.0,1.3808,0.6478
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,37,0.7333,1.6433,0.0388,0.0,1.3968,0.657
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,38,0.7368,1.6668,0.0315,0.0,1.4129,0.6662
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,39,0.7402,1.6902,0.0243,0.0,1.429,0.6754
IEP7,EFS7,Contested Futures and Democratic Imagination Pathway,40,0.7437,1.7136,0.017,0.0,1.4452,0.6846
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,1,0.74,0.3,0.54,0.92,0.2798,-0.1293
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,2,0.7493,0.3096,0.5422,0.9219,0.276,-0.1271
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,3,0.7586,0.3193,0.5444,0.9238,0.2723,-0.1248
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,4,0.768,0.3289,0.5466,0.9258,0.2685,-0.1226
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,5,0.7773,0.3386,0.5488,0.9277,0.2647,-0.1204
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,6,0.7946,0.3481,0.551,0.9296,0.2609,-0.1162
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,7,0.8039,0.3578,0.5532,0.9315,0.2571,-0.114
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,8,0.8132,0.3674,0.5554,0.9334,0.2533,-0.1118
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,9,0.8226,0.377,0.5576,0.9354,0.2495,-0.1096
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,10,0.8319,0.3867,0.5598,0.9373,0.2456,-0.1074
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,11,0.8412,0.3963,0.562,0.9392,0.2418,-0.1052
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,12,0.8585,0.4059,0.5642,0.9412,0.2379,-0.101
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,13,0.8678,0.4155,0.5664,0.9432,0.2341,-0.0988
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,14,0.8772,0.4252,0.5686,0.9451,0.2302,-0.0966
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,15,0.8865,0.4348,0.5708,0.947,0.2263,-0.0944
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,16,0.8958,0.4444,0.573,0.9489,0.2224,-0.0922
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,17,0.9051,0.4541,0.5752,0.9508,0.2185,-0.09
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,18,0.9224,0.4636,0.5775,0.9528,0.2145,-0.0858
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,19,0.9318,0.4733,0.5797,0.9547,0.2106,-0.0836
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,20,0.9411,0.4829,0.5819,0.9566,0.2066,-0.0814
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,21,0.9504,0.4925,0.5841,0.9586,0.2027,-0.0792
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,22,0.9597,0.5022,0.5863,0.9605,0.1987,-0.0771
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,23,0.969,0.5118,0.5885,0.9624,0.1947,-0.0749
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,24,0.9864,0.5214,0.5907,0.9643,0.1907,-0.0707
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,25,0.9957,0.531,0.5929,0.9662,0.1867,-0.0685
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,26,1.005,0.5407,0.5951,0.9682,0.1827,-0.0663
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,27,1.0143,0.5503,0.5973,0.9702,0.1787,-0.0641
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,28,1.0236,0.5599,0.5995,0.9721,0.1747,-0.062
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,29,1.033,0.5696,0.6017,0.974,0.1706,-0.0598
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,30,1.0503,0.5791,0.6039,0.9759,0.1665,-0.0556
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,31,1.0596,0.5888,0.6061,0.9779,0.1625,-0.0534
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,32,1.0689,0.5984,0.6083,0.9798,0.1584,-0.0512
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,33,1.0782,0.6081,0.6105,0.9817,0.1543,-0.049
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,34,1.0876,0.6177,0.6127,0.9836,0.1502,-0.0469
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,35,1.0969,0.6273,0.6149,0.9855,0.1461,-0.0447
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,36,1.1142,0.6369,0.6171,0.9875,0.142,-0.0405
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,37,1.1235,0.6465,0.6193,0.9894,0.1378,-0.0384
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,38,1.1328,0.6562,0.6215,0.9913,0.1337,-0.0362
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,39,1.1422,0.6658,0.6237,0.9933,0.1295,-0.034
IEP8,EFS8,Ethical Collapse Through Short-Termism Pathway,40,1.1515,0.6754,0.6259,0.9953,0.1253,-0.0319
