pathway_id,model_id,scenario_id,pathway_name,time_step,democratic_futures_capacity,public_trust,institutional_uptake,tokenism_risk,learning_score
P8,M8,S1,Public Technology Assessment Pathway,7,1.8,1.2523,1.1633,0.0,1.0708
P8,M8,S1,Public Technology Assessment Pathway,8,1.8,1.3777,1.249,0.0,1.1368
P8,M8,S1,Public Technology Assessment Pathway,9,1.8,1.4,1.3386,0.0,1.2064
P8,M8,S1,Public Technology Assessment Pathway,10,1.8,1.4,1.4,0.0,1.2772
P8,M8,S1,Public Technology Assessment Pathway,11,1.8,1.4,1.4,0.0,1.348
P8,M8,S1,Public Technology Assessment Pathway,12,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,13,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,14,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,15,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,16,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,17,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,18,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,19,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,20,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,21,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,22,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,23,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,24,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,25,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,26,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,27,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,28,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,29,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,30,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,31,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,32,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,33,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,34,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,35,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,36,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,37,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,38,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,39,1.8,1.4,1.4,0.0,1.4
P8,M8,S1,Public Technology Assessment Pathway,40,1.8,1.4,1.4,0.0,1.4
