pathway_id,model_id,scenario_id,pathway_name,time_step,future_ready_regulatory_capacity,regulatory_lag_pressure,rights_protection,public_trust,learning_score
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,21,1.3266,0.3012,0.7782,0.7679,1.164
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,22,1.3915,0.2882,0.8009,0.8005,1.2014
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,23,1.4582,0.2752,0.824,0.8347,1.2388
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,24,1.5232,0.2699,0.8474,0.8701,1.2742
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,25,1.593,0.2566,0.8714,0.9071,1.3116
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,26,1.6648,0.2431,0.8959,0.9458,1.349
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,27,1.7385,0.2295,0.9209,0.9862,1.3864
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,28,1.8,0.2158,0.9464,1.0283,1.4
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,29,1.8,0.202,0.9726,1.0721,1.4
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,30,1.8,0.1882,0.9992,1.1176,1.4
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,31,1.8,0.1744,1.0265,1.165,1.4
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,32,1.8,0.1686,1.0539,1.2137,1.4
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,33,1.8,0.1548,1.0819,1.2642,1.4
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,34,1.8,0.141,1.1105,1.3166,1.4
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,35,1.8,0.1272,1.1396,1.3708,1.4
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,36,1.8,0.1134,1.1693,1.4,1.4
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,37,1.8,0.0996,1.1995,1.4,1.4
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,38,1.8,0.0858,1.2303,1.4,1.4
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,39,1.8,0.072,1.2616,1.4,1.4
P7,RM8,SC7,Captured Innovation-First Regulation Pathway,40,1.8,0.0662,1.2931,1.4,1.4
