pathway_id,governance_id,scenario_id,pathway_name,time_step,anticipatory_capacity,legitimacy_score,learning_score,risk_pressure
P8,G8,SC4,Security Dominated Anticipation Pathway,7,1.3129,0.4799,1.1792,0.5478
P8,G8,SC4,Security Dominated Anticipation Pathway,8,1.4253,0.4926,1.2544,0.6474
P8,G8,SC4,Security Dominated Anticipation Pathway,9,1.5396,0.5053,1.3326,0.6471
P8,G8,SC4,Security Dominated Anticipation Pathway,10,1.6557,0.5181,1.4,0.6467
P8,G8,SC4,Security Dominated Anticipation Pathway,11,1.7736,0.5308,1.4,0.6463
P8,G8,SC4,Security Dominated Anticipation Pathway,12,1.8,0.5436,1.4,0.646
P8,G8,SC4,Security Dominated Anticipation Pathway,13,1.8,0.5563,1.4,0.6456
P8,G8,SC4,Security Dominated Anticipation Pathway,14,1.8,0.5691,1.4,0.6452
P8,G8,SC4,Security Dominated Anticipation Pathway,15,1.8,0.5819,1.4,0.6448
P8,G8,SC4,Security Dominated Anticipation Pathway,16,1.8,0.5908,1.4,0.7445
P8,G8,SC4,Security Dominated Anticipation Pathway,17,1.8,0.5996,1.4,0.7441
P8,G8,SC4,Security Dominated Anticipation Pathway,18,1.8,0.6085,1.4,0.7437
P8,G8,SC4,Security Dominated Anticipation Pathway,19,1.8,0.6173,1.4,0.7434
P8,G8,SC4,Security Dominated Anticipation Pathway,20,1.8,0.6262,1.4,0.743
P8,G8,SC4,Security Dominated Anticipation Pathway,21,1.8,0.6351,1.4,0.7426
P8,G8,SC4,Security Dominated Anticipation Pathway,22,1.8,0.644,1.4,0.7423
P8,G8,SC4,Security Dominated Anticipation Pathway,23,1.8,0.6529,1.4,0.7419
P8,G8,SC4,Security Dominated Anticipation Pathway,24,1.8,0.6579,1.4,0.8415
P8,G8,SC4,Security Dominated Anticipation Pathway,25,1.8,0.6628,1.4,0.8412
P8,G8,SC4,Security Dominated Anticipation Pathway,26,1.8,0.6678,1.4,0.8408
P8,G8,SC4,Security Dominated Anticipation Pathway,27,1.8,0.6728,1.4,0.8404
P8,G8,SC4,Security Dominated Anticipation Pathway,28,1.8,0.6778,1.4,0.8401
P8,G8,SC4,Security Dominated Anticipation Pathway,29,1.8,0.6828,1.4,0.8397
P8,G8,SC4,Security Dominated Anticipation Pathway,30,1.8,0.6878,1.4,0.8393
P8,G8,SC4,Security Dominated Anticipation Pathway,31,1.8,0.6928,1.4,0.839
P8,G8,SC4,Security Dominated Anticipation Pathway,32,1.8,0.6939,1.4,0.9386
P8,G8,SC4,Security Dominated Anticipation Pathway,33,1.8,0.695,1.4,0.9382
P8,G8,SC4,Security Dominated Anticipation Pathway,34,1.8,0.6961,1.4,0.9379
P8,G8,SC4,Security Dominated Anticipation Pathway,35,1.8,0.6972,1.4,0.9375
P8,G8,SC4,Security Dominated Anticipation Pathway,36,1.8,0.6983,1.4,0.9371
P8,G8,SC4,Security Dominated Anticipation Pathway,37,1.8,0.6994,1.4,0.9368
P8,G8,SC4,Security Dominated Anticipation Pathway,38,1.8,0.7005,1.4,0.9364
P8,G8,SC4,Security Dominated Anticipation Pathway,39,1.8,0.7017,1.4,0.936
P8,G8,SC4,Security Dominated Anticipation Pathway,40,1.8,0.6989,1.4,1.0356
