pathway_id,institution_id,scenario_id,pathway_name,time_step,signal_detection,scenario_capability,learning_capacity,governance_integration,adaptive_flexibility,participatory_legitimacy,ethical_accountability,data_infrastructure,foresight_capability_score,legitimacy_score
ASP4,FCP4,FSS1,Research Network Translation Pathway,19,1.0068,1.0712,1.0136,0.6944,1.0278,0.5922,0.7059,1.0289,0.9071,0.6575
ASP4,FCP4,FSS1,Research Network Translation Pathway,20,1.0169,1.0854,1.0264,0.7086,1.0474,0.6,0.7178,1.0445,0.9203,0.6684
ASP4,FCP4,FSS1,Research Network Translation Pathway,21,1.0273,1.0998,1.0395,0.7231,1.0674,0.6079,0.7299,1.0604,0.9338,0.6794
ASP4,FCP4,FSS1,Research Network Translation Pathway,22,1.0378,1.1144,1.0527,0.7378,1.0877,0.616,0.7423,1.0764,0.9475,0.6906
ASP4,FCP4,FSS1,Research Network Translation Pathway,23,1.0485,1.1291,1.0662,0.7526,1.1083,0.6242,0.7548,1.0926,0.9613,0.702
ASP4,FCP4,FSS1,Research Network Translation Pathway,24,1.0713,1.158,1.0939,0.7678,1.1293,0.6466,0.7676,1.1092,0.983,0.7192
ASP4,FCP4,FSS1,Research Network Translation Pathway,25,1.0824,1.1733,1.1079,0.7833,1.1507,0.6551,0.7807,1.126,0.9974,0.7311
ASP4,FCP4,FSS1,Research Network Translation Pathway,26,1.0935,1.1887,1.1222,0.799,1.1724,0.6638,0.794,1.143,1.012,0.7431
ASP4,FCP4,FSS1,Research Network Translation Pathway,27,1.1049,1.2042,1.1366,0.8149,1.1945,0.6727,0.8074,1.1601,1.0268,0.7554
ASP4,FCP4,FSS1,Research Network Translation Pathway,28,1.1164,1.22,1.1512,0.831,1.2168,0.6817,0.8211,1.1776,1.0418,0.7678
ASP4,FCP4,FSS1,Research Network Translation Pathway,29,1.1281,1.2359,1.1661,0.8474,1.2395,0.6909,0.835,1.1952,1.0571,0.7804
ASP4,FCP4,FSS1,Research Network Translation Pathway,30,1.1518,1.2521,1.1811,0.8639,1.2624,0.7002,0.8491,1.2131,1.0744,0.7932
ASP4,FCP4,FSS1,Research Network Translation Pathway,31,1.1638,1.2685,1.1965,0.8807,1.2857,0.7098,0.8634,1.2312,1.0901,0.8063
ASP4,FCP4,FSS1,Research Network Translation Pathway,32,1.176,1.2851,1.212,0.8978,1.3094,0.7195,0.8779,1.2495,1.106,0.8195
ASP4,FCP4,FSS1,Research Network Translation Pathway,33,1.1884,1.3019,1.2278,0.9151,1.3335,0.7293,0.8927,1.2681,1.1221,0.833
ASP4,FCP4,FSS1,Research Network Translation Pathway,34,1.2009,1.3188,1.2439,0.9226,1.3578,0.7393,0.9077,1.2868,1.137,0.8441
ASP4,FCP4,FSS1,Research Network Translation Pathway,35,1.2136,1.336,1.2601,0.9404,1.3825,0.7495,0.9228,1.3058,1.1536,0.8579
ASP4,FCP4,FSS1,Research Network Translation Pathway,36,1.2385,1.3674,1.2907,0.9586,1.4077,0.7738,0.9384,1.3252,1.178,0.8776
ASP4,FCP4,FSS1,Research Network Translation Pathway,37,1.2516,1.3852,1.3075,0.9771,1.4333,0.7844,0.9542,1.3449,1.1952,0.892
ASP4,FCP4,FSS1,Research Network Translation Pathway,38,1.2649,1.4032,1.3246,0.9958,1.4593,0.7951,0.9702,1.3648,1.2126,0.9066
ASP4,FCP4,FSS1,Research Network Translation Pathway,39,1.2784,1.4213,1.3419,1.0148,1.4857,0.8061,0.9865,1.3849,1.2302,0.9214
ASP4,FCP4,FSS1,Research Network Translation Pathway,40,1.292,1.4397,1.3595,1.034,1.5124,0.8172,1.003,1.4053,1.2481,0.9365
ASP4,FCP4,FSS1,Research Network Translation Pathway,41,1.3058,1.4583,1.3774,1.0536,1.5395,0.8286,1.0198,1.426,1.2663,0.9518
ASP4,FCP4,FSS1,Research Network Translation Pathway,42,1.3319,1.4772,1.3955,1.0734,1.567,0.8401,1.0369,1.4469,1.2866,0.9673
ASP4,FCP4,FSS1,Research Network Translation Pathway,43,1.3462,1.4964,1.4139,1.0936,1.595,0.8518,1.0542,1.4681,1.3053,0.9831
ASP4,FCP4,FSS1,Research Network Translation Pathway,44,1.3606,1.5158,1.4326,1.114,1.6233,0.8638,1.0718,1.4896,1.3243,0.9992
ASP4,FCP4,FSS1,Research Network Translation Pathway,45,1.3753,1.5354,1.4516,1.1347,1.6521,0.876,1.0897,1.5113,1.3435,1.0155
ASP4,FCP4,FSS1,Research Network Translation Pathway,46,1.3902,1.5552,1.4708,1.1557,1.6813,0.8884,1.1078,1.5333,1.363,1.032
ASP4,FCP4,FSS1,Research Network Translation Pathway,47,1.4053,1.5753,1.4903,1.177,1.7109,0.901,1.1263,1.5556,1.3828,1.0488
ASP4,FCP4,FSS1,Research Network Translation Pathway,48,1.4326,1.6097,1.5243,1.1987,1.7411,0.9278,1.1451,1.5784,1.4105,1.0716
ASP4,FCP4,FSS1,Research Network Translation Pathway,49,1.4481,1.6304,1.5445,1.2208,1.7718,0.9408,1.1643,1.6014,1.4309,1.089
ASP4,FCP4,FSS1,Research Network Translation Pathway,50,1.4639,1.6514,1.565,1.2432,1.8,0.9541,1.1837,1.6247,1.4513,1.1067
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,1,0.67,0.72,0.64,0.71,0.57,0.58,0.62,0.7,0.6558,0.6265
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,2,0.6768,0.7293,0.6501,0.7211,0.5846,0.5874,0.6305,0.7103,0.6657,0.6359
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,3,0.6836,0.7386,0.6603,0.7324,0.5995,0.595,0.6411,0.7207,0.6757,0.6455
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,4,0.6906,0.7481,0.6707,0.7439,0.6145,0.6026,0.6518,0.7313,0.6859,0.6552
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,5,0.6977,0.7577,0.6812,0.7555,0.6298,0.6104,0.6627,0.742,0.6963,0.665
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,6,0.7168,0.7675,0.6919,0.7674,0.6453,0.6184,0.6738,0.7529,0.7087,0.675
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,7,0.7241,0.7775,0.7027,0.7794,0.6611,0.6264,0.6851,0.764,0.7193,0.6852
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,8,0.7315,0.7876,0.7137,0.7915,0.677,0.6346,0.6965,0.7751,0.7301,0.6955
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,9,0.739,0.7977,0.7248,0.8039,0.6933,0.6429,0.7081,0.7865,0.7411,0.7059
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,10,0.7466,0.8081,0.7361,0.8164,0.7096,0.6513,0.7198,0.7979,0.7522,0.7165
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,11,0.7543,0.8185,0.7475,0.8291,0.7263,0.6599,0.7317,0.8095,0.7635,0.7273
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,12,0.7742,0.8432,0.7732,0.8422,0.7435,0.6826,0.7439,0.8215,0.7825,0.744
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,13,0.7822,0.8541,0.7851,0.8555,0.7609,0.6915,0.7563,0.8336,0.7943,0.7552
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,14,0.7903,0.8651,0.7972,0.869,0.7785,0.7005,0.7689,0.8458,0.8062,0.7666
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,15,0.7986,0.8763,0.8094,0.8827,0.7964,0.7096,0.7817,0.8583,0.8182,0.7781
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,16,0.807,0.8876,0.8218,0.8966,0.8146,0.7189,0.7947,0.8708,0.8305,0.7899
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,17,0.8155,0.899,0.8344,0.9007,0.833,0.7282,0.8078,0.8835,0.8415,0.7992
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,18,0.8361,0.9107,0.847,0.9151,0.8516,0.7377,0.8211,0.8965,0.856,0.8113
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,19,0.8449,0.9225,0.8599,0.9296,0.8705,0.7474,0.8346,0.9096,0.8688,0.8235
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,20,0.8537,0.9345,0.8729,0.9444,0.8896,0.7573,0.8483,0.9229,0.8817,0.8359
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,21,0.8628,0.9467,0.8861,0.9593,0.9091,0.7673,0.8622,0.9363,0.8948,0.8485
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,22,0.8719,0.959,0.8996,0.9746,0.9289,0.7774,0.8763,0.95,0.9082,0.8613
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,23,0.8812,0.9714,0.9132,0.99,0.949,0.7877,0.8906,0.9638,0.9217,0.8743
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,24,0.9027,0.9981,0.9411,1.0058,0.9695,0.8122,0.9053,0.9779,0.943,0.8932
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,25,0.9123,1.0111,0.9552,1.0218,0.9904,0.8229,0.9202,0.9923,0.9571,0.9067
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,26,0.9221,1.0242,0.9696,1.0382,1.0116,0.8337,0.9353,1.0068,0.9713,0.9204
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,27,0.932,1.0374,0.9841,1.0547,1.033,0.8447,0.9506,1.0215,0.9858,0.9343
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,28,0.9421,1.0509,0.9988,1.0715,1.0548,0.8559,0.9662,1.0364,1.0004,0.9484
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,29,0.9523,1.0645,1.0138,1.0886,1.077,0.8673,0.982,1.0515,1.0153,0.9628
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,30,0.9746,1.0784,1.0289,1.1059,1.0993,0.8788,0.9979,1.0669,1.0323,0.9773
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,31,0.9851,1.0924,1.0442,1.1234,1.1221,0.8905,1.0142,1.0824,1.0476,0.992
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,32,0.9958,1.1067,1.0598,1.1413,1.1452,0.9025,1.0307,1.0982,1.0631,1.0071
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,33,1.0066,1.1211,1.0756,1.1594,1.1686,0.9146,1.0474,1.1141,1.0789,1.0223
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,34,1.0176,1.1356,1.0917,1.1677,1.1924,0.9268,1.0644,1.1302,1.0934,1.0352
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,35,1.0287,1.1504,1.1079,1.1864,1.2164,0.9392,1.0816,1.1466,1.1096,1.0508
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,36,1.052,1.1794,1.1384,1.2054,1.2411,0.9659,1.0991,1.1634,1.1337,1.0724
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,37,1.0636,1.1948,1.1552,1.2248,1.266,0.9787,1.117,1.1803,1.1505,1.0886
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,38,1.0753,1.2103,1.1723,1.2444,1.2914,0.9918,1.1351,1.1975,1.1675,1.1051
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,39,1.0871,1.226,1.1895,1.2644,1.3171,1.005,1.1535,1.2149,1.1848,1.1218
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,40,1.0991,1.242,1.207,1.2846,1.3431,1.0185,1.1721,1.2326,1.2022,1.1388
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,41,1.1114,1.2581,1.2248,1.3051,1.3696,1.0322,1.191,1.2504,1.22,1.156
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,42,1.1358,1.2745,1.2428,1.326,1.3965,1.0461,1.2102,1.2686,1.24,1.1735
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,43,1.1483,1.2912,1.2611,1.3471,1.4237,1.0602,1.2297,1.287,1.2583,1.1913
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,44,1.1611,1.308,1.2796,1.3686,1.4514,1.0746,1.2495,1.3056,1.2768,1.2093
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,45,1.1741,1.3251,1.2984,1.3904,1.4795,1.0892,1.2695,1.3245,1.2957,1.2276
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,46,1.1872,1.3424,1.3175,1.4125,1.508,1.104,1.2899,1.3436,1.3148,1.2462
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,47,1.2005,1.3599,1.3369,1.4349,1.5369,1.1191,1.3106,1.3629,1.3341,1.265
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,48,1.2261,1.3917,1.3706,1.4578,1.5664,1.1484,1.3317,1.3827,1.3614,1.2899
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,49,1.2398,1.4099,1.3906,1.4811,1.5963,1.1639,1.3531,1.4028,1.3815,1.3094
ASP5,FCP5,FSS6,Multilateral Coordination Pathway,50,1.2538,1.4283,1.4109,1.5046,1.6266,1.1797,1.3748,1.4231,1.4018,1.3292
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,1,0.7,0.68,0.66,0.62,0.6,0.62,0.68,0.64,0.6532,0.641
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,2,0.7065,0.6896,0.6692,0.6318,0.6139,0.6272,0.6902,0.6504,0.663,0.6504
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,3,0.7131,0.6993,0.6786,0.6438,0.628,0.6345,0.7006,0.6609,0.6729,0.66
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,4,0.7197,0.7092,0.6882,0.6559,0.6424,0.6419,0.7112,0.6715,0.6829,0.6697
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,5,0.7265,0.7191,0.6978,0.6682,0.657,0.6495,0.7219,0.6822,0.6931,0.6795
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,6,0.7454,0.7293,0.7077,0.6806,0.6718,0.6572,0.7327,0.6932,0.7054,0.6895
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,7,0.7524,0.7395,0.7177,0.6933,0.6868,0.665,0.7437,0.7042,0.7159,0.6996
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,8,0.7595,0.7499,0.7278,0.7061,0.7021,0.673,0.7549,0.7155,0.7265,0.7099
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,9,0.7667,0.7604,0.7382,0.7191,0.7176,0.6811,0.7663,0.7268,0.7373,0.7204
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,10,0.774,0.771,0.7486,0.7322,0.7332,0.6893,0.7777,0.7383,0.7483,0.731
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,11,0.7814,0.7818,0.7592,0.7455,0.7492,0.6977,0.7894,0.7499,0.7594,0.7417
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,12,0.8009,0.8067,0.7842,0.7591,0.7656,0.7202,0.8014,0.7619,0.7783,0.7583
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,13,0.8086,0.8179,0.7953,0.773,0.7823,0.7288,0.8136,0.774,0.7898,0.7695
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,14,0.8164,0.8292,0.8065,0.7871,0.7993,0.7376,0.826,0.7863,0.8016,0.7809
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,15,0.8244,0.8406,0.818,0.8014,0.8165,0.7465,0.8386,0.7987,0.8135,0.7925
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,16,0.8325,0.8522,0.8296,0.8159,0.8339,0.7556,0.8513,0.8113,0.8256,0.8042
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,17,0.8406,0.8638,0.8414,0.8205,0.8516,0.7648,0.8642,0.824,0.8364,0.8135
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,18,0.861,0.8758,0.8533,0.8354,0.8695,0.7741,0.8773,0.837,0.8507,0.8255
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,19,0.8694,0.8879,0.8654,0.8505,0.8877,0.7836,0.8905,0.8501,0.8633,0.8377
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,20,0.8779,0.9001,0.8777,0.8658,0.9061,0.7932,0.9039,0.8634,0.8761,0.8501
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,21,0.8866,0.9124,0.8902,0.8813,0.9249,0.803,0.9176,0.8768,0.889,0.8627
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,22,0.8954,0.9249,0.9029,0.897,0.9439,0.813,0.9315,0.8904,0.9022,0.8755
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,23,0.9044,0.9376,0.9157,0.9129,0.9633,0.8231,0.9456,0.9042,0.9155,0.8884
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,24,0.9254,0.9645,0.9429,0.9292,0.9831,0.8474,0.96,0.9183,0.9367,0.9073
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,25,0.9347,0.9776,0.9563,0.9458,1.0032,0.8579,0.9746,0.9327,0.9505,0.9207
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,26,0.9442,0.9909,0.9699,0.9626,1.0237,0.8686,0.9895,0.9472,0.9646,0.9344
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,27,0.9537,1.0044,0.9837,0.9796,1.0444,0.8794,1.0046,0.9618,0.9788,0.9483
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,28,0.9634,1.018,0.9978,0.9969,1.0655,0.8904,1.0199,0.9767,0.9933,0.9624
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,29,0.9733,1.0317,1.012,1.0145,1.0869,0.9016,1.0355,0.9917,1.008,0.9767
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,30,0.9952,1.0458,1.0264,1.0322,1.1085,0.913,1.0512,1.0071,1.0248,0.9911
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,31,1.0054,1.06,1.0411,1.0502,1.1306,0.9245,1.0672,1.0226,1.0399,1.0059
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,32,1.0157,1.0744,1.056,1.0685,1.1529,0.9363,1.0834,1.0382,1.0552,1.0208
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,33,1.0261,1.0889,1.0711,1.087,1.1756,0.9482,1.0999,1.0541,1.0708,1.036
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,34,1.0367,1.1036,1.0864,1.0958,1.1986,0.9602,1.1166,1.0702,1.0851,1.0489
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,35,1.0475,1.1185,1.102,1.1149,1.222,0.9725,1.1335,1.0865,1.1011,1.0645
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,36,1.0704,1.1476,1.1318,1.1343,1.2458,0.999,1.1509,1.1032,1.1249,1.086
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,37,1.0816,1.1631,1.1479,1.1541,1.2701,1.0117,1.1685,1.12,1.1414,1.1021
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,38,1.0929,1.1787,1.1643,1.1741,1.2947,1.0245,1.1863,1.1372,1.1582,1.1186
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,39,1.1044,1.1945,1.1809,1.1945,1.3197,1.0376,1.2044,1.1545,1.1753,1.1352
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,40,1.1159,1.2105,1.1977,1.215,1.3449,1.051,1.2228,1.172,1.1925,1.1521
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,41,1.1278,1.2267,1.2148,1.236,1.3706,1.0645,1.2414,1.1898,1.2101,1.1693
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,42,1.1518,1.2433,1.2321,1.2572,1.3968,1.0782,1.2604,1.2078,1.2298,1.1867
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,43,1.1639,1.26,1.2498,1.2787,1.4233,1.0922,1.2796,1.2261,1.2479,1.2044
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,44,1.1763,1.2769,1.2676,1.3005,1.4502,1.1064,1.2991,1.2446,1.2662,1.2224
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,45,1.1888,1.294,1.2858,1.3227,1.4775,1.1208,1.3189,1.2634,1.2848,1.2406
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,46,1.2016,1.3113,1.3042,1.3451,1.5052,1.1355,1.339,1.2824,1.3036,1.2591
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,47,1.2145,1.3288,1.3229,1.3679,1.5333,1.1504,1.3594,1.3016,1.3228,1.2779
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,48,1.2396,1.3607,1.356,1.3911,1.5621,1.1796,1.3803,1.3212,1.3498,1.3027
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,49,1.2529,1.3789,1.3754,1.4147,1.5913,1.1949,1.4014,1.3412,1.3696,1.3221
ASP6,FCP6,FSS3,Public Health Early Warning Pathway,50,1.2664,1.3972,1.395,1.4386,1.6208,1.2106,1.4228,1.3613,1.3896,1.3419
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,1,0.76,0.74,0.72,0.7,0.66,0.66,0.72,0.68,0.7104,0.691
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,2,0.767,0.7505,0.7302,0.7127,0.6753,0.6679,0.7312,0.6913,0.721,0.7012
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,3,0.774,0.761,0.7406,0.7255,0.6909,0.6759,0.7426,0.7027,0.7318,0.7116
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,4,0.7812,0.7717,0.7511,0.7385,0.7067,0.684,0.7541,0.7142,0.7428,0.7222
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,5,0.7885,0.7825,0.7618,0.7518,0.7228,0.6923,0.7658,0.7259,0.7539,0.7329
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,6,0.8079,0.7936,0.7726,0.7651,0.7391,0.7007,0.7777,0.7378,0.7671,0.7438
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,7,0.8154,0.8047,0.7837,0.7787,0.7556,0.7093,0.7898,0.7499,0.7785,0.7548
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,8,0.8231,0.816,0.7949,0.7925,0.7724,0.718,0.802,0.7621,0.7901,0.766
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,9,0.8308,0.8274,0.8062,0.8065,0.7895,0.7268,0.8144,0.7744,0.8019,0.7774
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,10,0.8386,0.839,0.8177,0.8206,0.8067,0.7358,0.827,0.7869,0.8138,0.7889
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,11,0.8466,0.8507,0.8295,0.8349,0.8243,0.745,0.8398,0.7996,0.8259,0.8006
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,12,0.8667,0.8766,0.8555,0.8496,0.8423,0.7683,0.8529,0.8126,0.8458,0.8182
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,13,0.875,0.8887,0.8677,0.8645,0.8607,0.7777,0.8662,0.8257,0.8584,0.8304
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,14,0.8834,0.901,0.8801,0.8797,0.8793,0.7873,0.8798,0.8391,0.8712,0.8428
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,15,0.892,0.9134,0.8927,0.895,0.8982,0.7971,0.8935,0.8526,0.8842,0.8553
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,16,0.9007,0.926,0.9054,0.9106,0.9173,0.807,0.9074,0.8662,0.8973,0.8681
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,17,0.9095,0.9386,0.9184,0.9164,0.9367,0.817,0.9215,0.88,0.9092,0.8784
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,18,0.9305,0.9516,0.9315,0.9325,0.9564,0.8272,0.9358,0.8941,0.9247,0.8915
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,19,0.9396,0.9647,0.9448,0.9487,0.9764,0.8376,0.9503,0.9083,0.9384,0.9048
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,20,0.9487,0.9779,0.9583,0.9652,0.9966,0.8482,0.9649,0.9227,0.9523,0.9183
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,21,0.9581,0.9913,0.972,0.9819,1.0172,0.8589,0.9799,0.9373,0.9664,0.932
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,22,0.9676,1.0049,0.9859,0.9988,1.0381,0.8698,0.995,0.9521,0.9807,0.9459
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,23,0.9773,1.0186,1.0001,1.016,1.0593,0.8808,1.0104,0.9671,0.9952,0.96
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,24,0.9991,1.0466,1.0286,1.0336,1.0811,0.9061,1.0262,0.9824,1.0176,0.98
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,25,1.0091,1.0609,1.0432,1.0514,1.1032,0.9175,1.0421,0.9979,1.0326,0.9946
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,26,1.0192,1.0753,1.0581,1.0696,1.1256,0.9292,1.0584,1.0137,1.0479,1.0095
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,27,1.0296,1.0899,1.0733,1.0879,1.1483,0.941,1.0748,1.0296,1.0634,1.0246
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,28,1.04,1.1046,1.0887,1.1066,1.1714,0.953,1.0915,1.0457,1.0792,1.0399
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,29,1.0507,1.1196,1.1042,1.1255,1.1948,0.9652,1.1085,1.062,1.0951,1.0554
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,30,1.0734,1.1348,1.12,1.1446,1.2185,0.9776,1.1257,1.0786,1.1132,1.0712
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,31,1.0843,1.1502,1.1361,1.164,1.2426,0.9902,1.1431,1.0954,1.1296,1.0872
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,32,1.0955,1.1658,1.1524,1.1838,1.2671,1.003,1.1609,1.1124,1.1463,1.1035
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,33,1.1067,1.1815,1.1689,1.2038,1.292,1.0161,1.1789,1.1296,1.1632,1.12
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,34,1.1182,1.1974,1.1857,1.2141,1.3172,1.0292,1.1971,1.1471,1.1789,1.1342
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,35,1.1298,1.2136,1.2027,1.2346,1.3427,1.0426,1.2155,1.1647,1.1963,1.1511
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,36,1.1536,1.244,1.2341,1.2556,1.3689,1.0702,1.2344,1.1828,1.2215,1.174
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,37,1.1656,1.2608,1.2517,1.277,1.3954,1.084,1.2536,1.2011,1.2395,1.1916
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,38,1.1779,1.2777,1.2696,1.2986,1.4223,1.0981,1.2731,1.2196,1.2578,1.2095
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,39,1.1903,1.2948,1.2878,1.3206,1.4496,1.1124,1.2928,1.2384,1.2763,1.2276
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,40,1.2028,1.3122,1.3061,1.3428,1.4772,1.1269,1.3128,1.2574,1.2951,1.2459
ASP7,FCP7,FSS8,Climate Adaptation Foresight Pathway,41,1.2156,1.3297,1.3248,1.3654,1.5054,1.1417,1.3331,1.2766,1.3141,1.2646
